min_height,max_height,min_weight,max_weight,ideal_calories,meal_plan_high,meal_plan_equal,meal_plan_less
130,140,40,50,1600,Lose weight: Daily caloric intake should be 1290-1390 calories ,Maintain weight: Daily caloric intake should be 1560-1760 calories,Gain weight: Daily caloric intake should be 1940-2140 calories
130,140,50,60,1800,Lose weight: Daily caloric intake should be 1430-1530 calories ,Maintain weight: Daily caloric intake should be 1700-1900 calories,Gain weight: Daily caloric intake should be 2080-2280 calories
130,140,60,70,1940,Lose weight: Daily caloric intake should be 1560-1660 calories ,Maintain weight: Daily caloric intake should be 1840-2040 calories,Gain weight: Daily caloric intake should be 2210-2410 calories
130,140,70,80,2080,Lose weight: Daily caloric intake should be 1820-1920 calories ,Maintain weight: Daily caloric intake should be 2100-2300 calories,Gain weight: Daily caloric intake should be 2470-2670 calories
130,140,80,90,2220,Lose weight: Daily caloric intake should be 1840-1940 calories ,Maintain weight: Daily caloric intake should be 2120-2320 calories,Gain weight: Daily caloric intake should be 2490-2690 calories
130,140,90,100,2360,Lose weight: Daily caloric intake should be 1980-2080 calories ,Maintain weight: Daily caloric intake should be 2260-2460 calories,Gain weight: Daily caloric intake should be 2630-2830 calories
130,140,100,110,2490,Lose weight: Daily caloric intake should be 2120-2220 calories ,Maintain weight: Daily caloric intake should be 2390-2590 calories,Gain weight: Daily caloric intake should be 2770-2970 calories
130,140,110,120,2630,Lose weight: Daily caloric intake should be 2260-2360 calories ,Maintain weight: Daily caloric intake should be 2530-2730 calories,Gain weight: Daily caloric intake should be 2910-3110 calories
140,150,40,50,1750,Lose weight: Daily caloric intake should be 1360-1460 calories ,Maintain weight: Daily caloric intake should be 1640-1840 calories,Gain weight: Daily caloric intake should be 2010-2210 calories
140,150,50,60,1890,Lose weight: Daily caloric intake should be 1510-1610 calories ,Maintain weight: Daily caloric intake should be 1790-1990 calories,Gain weight: Daily caloric intake should be 2160-2360 calories
140,150,60,70,2030,Lose weight: Daily caloric intake should be 1650-1750 calories ,Maintain weight: Daily caloric intake should be 1930-2130 calories,Gain weight: Daily caloric intake should be 2300-2500 calories
140,150,70,80,2170,Lose weight: Daily caloric intake should be 1790-1890 calories ,Maintain weight: Daily caloric intake should be 2070-2270 calories,Gain weight: Daily caloric intake should be 2440-2640 calories
140,150,80,90,2290,Lose weight: Daily caloric intake should be 1910-2010 calories ,Maintain weight: Daily caloric intake should be 2190-2390 calories,Gain weight: Daily caloric intake should be 2560-2760 calories
140,150,90,100,2440,Lose weight: Daily caloric intake should be 2070-2170 calories ,Maintain weight: Daily caloric intake should be 2340-2540 calories,Gain weight: Daily caloric intake should be 2720-2920 calories
140,150,100,110,2580,Lose weight: Daily caloric intake should be 2200-2300calories ,Maintain weight: Daily caloric intake should be 2480-2680 calories,Gain weight: Daily caloric intake should be 2850-3050 calories
140,150,110,120,2635,Lose weight: Daily caloric intake should be 2270-2370 calories ,Maintain weight: Daily caloric intake should be 2550-2750 calories,Gain weight: Daily caloric intake should be 2920-3120 calories
150,160,40,50,1840,Lose weight: Daily caloric intake should be 1460-1560 calories ,Maintain weight: Daily caloric intake should be 1740-1940 calories,Gain weight: Daily caloric intake should be 2110-2310 calories
150,160,50,60,1980,Lose weight: Daily caloric intake should be 1600-1700 calories ,Maintain weight: Daily caloric intake should be 1880-2080 calories,Gain weight: Daily caloric intake should be 2250-2450 calories
150,160,60,70,2110,Lose weight: Daily caloric intake should be 1740-1840 calories ,Maintain weight: Daily caloric intake should be 2010-2210 calories,Gain weight: Daily caloric intake should be 2390-2590 calories
150,160,70,80,2250,Lose weight: Daily caloric intake should be 1880-1980 calories ,Maintain weight: Daily caloric intake should be 2150-2350 calories,Gain weight: Daily caloric intake should be 2530-2730 calories
150,160,80,90,2390,Lose weight: Daily caloric intake should be 2010-2110 calories ,Maintain weight: Daily caloric intake should be 2290-2490 calories,Gain weight: Daily caloric intake should be 2660-2860 calories
150,160,90,100,2530,Lose weight: Daily caloric intake should be 2150-2250 calories ,Maintain weight: Daily caloric intake should be 2430-2630 calories,Gain weight: Daily caloric intake should be 2800-3000 calories
150,160,100,110,2670,Lose weight: Daily caloric intake should be 2290-2390 calories ,Maintain weight: Daily caloric intake should be 2570-2770 calories,Gain weight: Daily caloric intake should be 2940-3140 calories
150,160,110,120,2810,Lose weight: Daily caloric intake should be 2430-2530 calories ,Maintain weight: Daily caloric intake should be 2710-2910 calories,Gain weight: Daily caloric intake should be 3080-3280 calories
160,170,40,50,1920,Lose weight: Daily caloric intake should be 1550-1650 calories ,Maintain weight: Daily caloric intake should be 1820-2020 calories,Gain weight: Daily caloric intake should be 2200-2400 calories
